Gene_symbol,gene_accession_id,analysis_id,pvalue,mouse_life_stage,parameter_id,parameter_name,parameter_description,parameter_group,mouse_strain
Abcg3,MGI:1351624,i9jdcx1v59q66n5,0.347392,Early adult,IMPC_EYE_014_001,Pupil Light Response,Pupil_light_response,Eye Morphology,C57BL
Abcg3,MGI:1351624,oo9023yl0h66631,0.35265,Early adult,IMPC_CBC_018_001,Glucose,Glucose,CBC Chemistry,C57BL
Abcg3,MGI:1351624,hc0co3635s3bx69,0.363078,Early adult,IMPC_CBC_003_001,Chloride,Chloride,CBC Chemistry,C57BL
Abcg3,MGI:1351624,lw0gd42912sjhg9,0.368688,Early adult,IMPC_EYE_092_002,Retina (combined),NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,3guql4dzu83f1ip,0.381315,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,86av063m2g17u0k,0.381862,Early adult,IMPC_OFD_010_001,Periphery distance travelled,Periphery_distance_travelled,Activity/Movement,C57BL
Abcg3,MGI:1351624,37hd244308393xt,0.390883,Early adult,IMPC_EYE_027_001,Persistence of hyaloid vascular system,Persistence_of_hyaloid_vascular_system,Eye Morphology,C57BL
Abcg3,MGI:1351624,p7pn6rzw36nxd3q,0.401686,Early adult,IMPC_CSD_039_001,Limb grasp,Limb_grasp,Images,C57BL
Abcg3,MGI:1351624,v4h0hggerbrhp9p,0.422956,Early adult,IMPC_CSD_028_001,Snout size,Snout_size,Images,C57BL
Abcg3,MGI:1351624,9722s7070ue8c66,0.425356,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,Alanine_aminotransferase,CBC Chemistry,C57BL
Abcg3,MGI:1351624,ckmia3o1e8w5n95,0.436815,Early adult,JAX_OFD_013_001,Periphery average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,43u1634u8973s0m,0.450838,Early adult,IMPC_HEM_030_001,Neutrophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,04ia2u992y51iz6,0.45149,Early adult,ESLIM_016_001_003,Hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Abcg3,MGI:1351624,nzc44270t6s19rp,0.453214,Early adult,IMPC_HEM_019_001,Mean platelet volume,NA,Hematology,C57BL
Abcg3,MGI:1351624,tbl44013771m15e,0.453888,Early adult,HMGULA_OWT_023_001,Whole liver weight,generated during R cleaning due to missing Parameter ID metadata,Weight,C57BL
Abcg3,MGI:1351624,01au9gvku2za5o1,0.455061,Early adult,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,Forelimb_and_hindlimb_grip_strength_measurement_mean,Activity/Movement,C57BL
Abcg3,MGI:1351624,k50dsgsgi1l1u0i,0.458826,Early adult,IMPC_ACS_037_001,% Pre-pulse inhibition - Global,Pre_pulse_inhibition_global,Brain,C57BL
Abcg3,MGI:1351624,v023dj3r728j80h,0.464748,Early adult,IMPC_ECH_011_001,LVIDs,NA,Echocardiography,C57BL
Abcg3,MGI:1351624,4fbw32096vh13m8,0.464812,Early adult,IMPC_HEM_033_001,Monocyte differential count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,l284n5mn3ym387c,0.464982,Early adult,IMPC_HEM_002_001,Red blood cell count,Red_blood_cell_count,Hematology,C57BL
Abcg3,MGI:1351624,80u07u7e5667l4k,0.466329,Early adult,IMPC_OFD_021_001,Number of rears - total,Number_of_rears_total,Activity/Movement,C57BL
Abcg3,MGI:1351624,lx0ffn04w1o2wo5,0.469078,Early adult,IMPC_EYE_083_001,Vitreous,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,631w690xh05j0kj,0.469716,Early adult,HMGULA_OFD_020_001,Distance travelled - total,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,5x76w9j193r9912,0.473996,Early adult,IMPC_XRY_033_001,Tibia length,Tibia_length,Images,C57BL
Abcg3,MGI:1351624,xdkpnfc9t52s795,0.496177,Early adult,IMPC_OFD_007_001,Whole arena resting time,Whole_arena_resting_time,Activity/Movement,C57BL
Abcg3,MGI:1351624,du45g2iip1vwn59,0.507292,Early adult,ESLIM_007_001_005,Whole arena average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,38wy6g80l3ij7pu,0.515718,Early adult,IMPC_CBC_028_001,Creatine kinase,Creatine_kinase,CBC Chemistry,C57BL
Abcg3,MGI:1351624,80a38r12md3x8he,0.517731,Early adult,HMGULA_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,7aj6t719jb87863,0.521009,Early adult,JAX_OFD_009_001,Whole arena average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,lwz2mhymuogzt31,0.523576,Early adult,M_G_P_016_001_008,Platelet count,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Abcg3,MGI:1351624,t0n541b5me4r313,0.523808,Early adult,IMPC_EYE_023_001,Optic Disc,Optic_disc,Eye Morphology,C57BL
Abcg3,MGI:1351624,058bde10qc14m50,0.525605,Early adult,ESLIM_021_001_001,Glucose,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,8qd8c3tc4xy41a6,0.526324,Early adult,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,Pre_pulse_inhibition_pp2,Brain,C57BL
Abcg3,MGI:1351624,yud31448193o82x,0.527326,Early adult,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,18khz_evoked_abr_threshold,Brain,C57BL
Abcg3,MGI:1351624,06hav9m5483zuwe,0.537201,Early adult,M_G_P_025_001_002,Urea,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,2h2d77z0601734w,0.538807,Early adult,ESLIM_015_001_015,Alkaline phosphatase,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,81bl005pp09m6r8,0.538807,Early adult,IMPC_HEM_004_001,Hematocrit,Hematocrit,Hematology,C57BL
Abcg3,MGI:1351624,fceum1ir932e039,0.547307,Early adult,MGP_CSD_004_001,Transfer arousal,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,376f02h7j39x306,0.553956,Early adult,IMPC_CBC_054_001,Magnesium,NA,CBC Chemistry,C57BL
Abcg3,MGI:1351624,84e4j21g36bx3ld,0.553983,Early adult,ESLIM_018_001_003,T cell CD3+ percentage,generated during R cleaning due to missing Parameter ID metadata,Immunology,C57BL
Abcg3,MGI:1351624,7z8325202zrd492,0.554086,Early adult,IMPC_CBC_014_001,Alkaline phosphatase,Alkaline_phosphatase,CBC Chemistry,C57BL
Abcg3,MGI:1351624,g3ciyg64316ibmr,0.561194,Early adult,CCP_XRY_031_001,Digit integrity,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,08c966d16o52fuf,0.563441,Early adult,IMPC_CSD_036_001,Startle response,Startle_response,Images,C57BL
Abcg3,MGI:1351624,6th6sz0wel2nrd2,0.565403,Early adult,IMPC_CBC_012_001,Aspartate aminotransferase,Aspartate_aminotransferase,CBC Chemistry,C57BL
Abcg3,MGI:1351624,6soszt39is1g4bf,0.572197,Early adult,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,Forelimb_and_hindlimb_grip_strength_normalised_against_body_weight,Activity/Movement,C57BL
Abcg3,MGI:1351624,5ezr3fbqdssnsd1,0.572391,Early adult,IMPC_CBC_023_001,Alpha-amylase,Alpha_amylase,CBC Chemistry,C57BL
Abcg3,MGI:1351624,a6d072yy82vjxz6,0.574387,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,1rlvhqliypec3qn,0.575185,Early adult,IMPC_CBC_005_001,Creatinine,Creatinine_enzymatic_method_preferred,CBC Chemistry,C57BL
Abcg3,MGI:1351624,p25l4770lnl3x21,0.575789,Early adult,IMPC_OWT_004_001,Right kidney weight,Right_kidney_weight,Weight,C57BL
Abcg3,MGI:1351624,78x76c119p0w644,0.582024,Early adult,HMGULA_OFD_013_001,Periphery average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,q87v7n4ab51562h,0.593703,Early adult,IMPC_EYE_087_001,Right vitreous humor thickness,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,o3w2ayt8t8u417j,0.597204,Early adult,JAX_OFD_011_001,Periphery resting time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,a7553796ioa6701,0.601633,Early adult,IMPC_GEL_018_001,Visceral yolk sac morphology,Visceral_yolk_sac_morphology,Morphology/Development,C57BL
Abcg3,MGI:1351624,837el4ak5700r43,0.605441,Early adult,IMPC_EYE_059_001,Mean right eye lens density,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,bclwlvrz2kh2732,0.609273,Early adult,CCP_XRY_064_001,Thoracic processes,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,t08q583i7hp2b8r,0.612853,Early adult,IMPC_CSD_062_001,Skin texture - whole body,Skin_texture_whole_body,Images,C57BL
Abcg3,MGI:1351624,rch1h4np1uc07r1,0.618904,Early adult,IMPC_OFD_016_001,Center permanence time,Center_permanence_time,Activity/Movement,C57BL
Abcg3,MGI:1351624,7a1m5m73x925049,0.62044,Early adult,JAX_OFD_020_001,Distance travelled - total,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,252fz00got3bn99,0.640667,Early adult,ESLIM_007_001_009,Periphery average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,t9e218j106v3v5l,0.645422,Early adult,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,24khz_evoked_abr_threshold,Brain,C57BL
Abcg3,MGI:1351624,y07po423h227y8m,0.647479,Early adult,IMPC_CBC_010_001,Phosphorus,Phosphate,CBC Chemistry,C57BL
Abcg3,MGI:1351624,334gfzgm8v0t72v,0.666875,Early adult,IMPC_EYE_008_001,Corneal opacity,Corneal_opacity,Eye Morphology,C57BL
Abcg3,MGI:1351624,247293t797fodn9,0.676712,Early adult,IMPC_EYE_015_001,Iris Pigmentation,Iris_pigmentation,Eye Morphology,C57BL
Abcg3,MGI:1351624,7g0v69354e41675,0.681808,Early adult,CCP_XRY_060_001,Transitional vertebrae,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,45581o156okyt0x,0.689881,Early adult,IMPC_HEM_037_001,Basophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,bzqeqwvu3shly4f,0.692937,Early adult,CCP_XRY_020_001,Processes on vertebrae,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,x4zjr05ck261g31,0.699078,Early adult,IMPC_CSD_003_001,Tail - thickness,Tail_thickness,Images,C57BL
Abcg3,MGI:1351624,1889q03pu6k329t,0.706608,Early adult,IMPC_HEM_027_001,Red blood cell distribution width,NA,Hematology,C57BL
Abcg3,MGI:1351624,bf4q87d3ddm333m,0.70817,Early adult,IMPC_ECH_014_001,Body Temp,NA,Echocardiography,C57BL
Abcg3,MGI:1351624,1160o0e9m03z2p7,0.711351,Early adult,ESLIM_011_001_008,PP2 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Abcg3,MGI:1351624,p320t62994rfq53,0.715178,Early adult,IMPC_GEL_024_001,Branchial arch morphology,Branchial_arch_morphology,Morphology/Development,C57BL
Abcg3,MGI:1351624,jq3u87as737x81y,0.715338,Early adult,IMPC_GEL_027_001,Neural tube closure,Neural_tube_closure,Morphology/Development,C57BL
Abcg3,MGI:1351624,oor8c9lv22l3z01,0.722475,Early adult,M_G_P_008_001_012,Tail elevation,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,28t8rcp67a5m00h,0.72582,Early adult,ESLIM_011_001_006,110dB startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Abcg3,MGI:1351624,75wpu334gl00549,0.731332,Early adult,HMGULA_OFD_009_001,Whole arena average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,v2x9uuw3468899m,0.741965,Early adult,IMPC_HEM_001_001,White blood cell count,White_blood_cell_count,Hematology,C57BL
Abcg3,MGI:1351624,em5u94p7o5nk6o9,0.743151,Early adult,JAX_OFD_019_001,Number of center entries,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,tnl6nf4qp6s44vp,0.746264,Early adult,ESLIM_021_001_003,Triglycerides,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,2r7cx3048x83x8k,0.754754,Early adult,IMPC_OFD_022_001,Percentage center time,Percentage_center_time,Activity/Movement,C57BL
Abcg3,MGI:1351624,3234t5004844cx7,0.757341,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,Forelimb_grip_strength_normalised_against_body_weight,Activity/Movement,C57BL
Abcg3,MGI:1351624,tx46j3my9s90qt9,0.768424,Early adult,IMPC_EYE_017_001,Lens Opacity,Lens_opacity,Eye Morphology,C57BL
Abcg3,MGI:1351624,4snozr021d5t44i,0.780983,Early adult,IMPC_CBC_011_001,Iron,Iron,CBC Chemistry,C57BL
Abcg3,MGI:1351624,37y199u94979395,0.782246,Early adult,IMPC_EYE_024_001,Retinal Blood Vessels,Retinal_blood_vessels,Eye Morphology,C57BL
Abcg3,MGI:1351624,3y6oys798gv796n,0.782878,Early adult,IMPC_HEM_008_001,Platelet count,Platelet_count,Hematology,C57BL
Abcg3,MGI:1351624,724f4tn2lxp4x5r,0.785254,Early adult,CCP_XRY_027_001,Joints,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,f9jg6tm9gkr4cw1,0.787976,Early adult,IMPC_HEM_006_001,Mean corpuscular hemoglobin,Mean_corpuscular_hemoglobin,Hematology,C57BL
Abcg3,MGI:1351624,cma38auqyo8nn0m,0.798726,Early adult,ESLIM_011_001_702,Prepulse inhibition - PP2,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Abcg3,MGI:1351624,05arr76a540l8ba,0.799096,Early adult,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),Bone_mineral_density_excluding_skull,Images,C57BL
Abcg3,MGI:1351624,5ii7k3jczv3cl0f,0.804959,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,Conditioning_baseline_freezing_time,Brain,C57BL
Abcg3,MGI:1351624,5ir455ny13mx832,0.806155,Early adult,IMPC_OFD_014_001,Center distance travelled,Center_distance_travelled,Activity/Movement,C57BL
Abcg3,MGI:1351624,w8r4gl65r06loai,0.811915,Early adult,IMPC_EYE_088_001,Left vitreous humour thickness,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,qf8ixwh17bmkjr5,0.815249,Early adult,IMPC_ACS_035_001,% Pre-pulse inhibition - PPI3,Pre_pulse_inhibition_pp3,Brain,C57BL
Abcg3,MGI:1351624,80g2kv2161k684v,0.820307,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),NA,Immunology,C57BL
Abcg3,MGI:1351624,24rt2ty3k3ke3dp,0.820722,Early adult,ESLIM_015_001_009,Calcium,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,hki6r0y71g1bx11,0.824343,Early adult,IMPC_GEL_032_001,Embryo Size,Embryo_size,Images,C57BL
Abcg3,MGI:1351624,21m29alsm3n4xff,0.835445,Early adult,IMPC_EYE_092_001,Retina (combined),NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,ncs517459m54bo4,0.840444,Early adult,IMPC_ACS_006_001,Response amplitude - S,Response_amplitude_s,Brain,C57BL
Abcg3,MGI:1351624,2zir61yy99l76gz,0.844739,Early adult,CCP_XRY_018_001,Shape of vertebrae,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
